coordinateUncertaintyInMeters,day,month,year,decade,order_enc,family_enc,taxonRank_enc,basisOfRecord_enc,season_enc,lat_grid,lon_grid,species_richness,decimalLatitude,decimalLongitude,insect_sighting_density
15.0,18,10,2025,2020,4,43,2,0,3,17.4,73.7,69,17.391856,73.745417,42.57616794108824
4.0,17,10,2025,2020,4,39,2,0,3,17.4,73.7,69,17.398218,73.746096,42.85973830400941
4.0,17,10,2025,2020,3,2,2,0,3,17.4,73.7,69,17.400394,73.746231,42.85973830400941
15.0,18,10,2025,2020,0,35,1,0,3,17.4,73.7,69,17.368949,73.692359,42.57616794108824
31.0,19,10,2025,2020,4,27,2,0,3,17.4,73.7,69,17.430016,73.730306,42.47742542152915
15.0,19,10,2025,2020,4,39,2,0,3,17.4,73.7,69,17.418589,73.74217,42.57616794108824
4.0,17,10,2025,2020,4,27,2,0,3,17.4,73.7,69,17.400174,73.746069,42.85973830400941
8.0,18,10,2025,2020,4,39,2,0,3,17.4,73.7,69,17.369557,73.690669,42.690651054359016
15.0,19,10,2025,2020,4,27,2,0,3,17.4,73.7,69,17.430655,73.730538,42.57616794108824
15.0,19,10,2025,2020,4,27,2,0,3,17.4,73.7,69,17.416533,73.740549,42.57616794108824
2.0,18,10,2025,2020,4,27,2,0,3,17.4,73.7,69,17.375519,73.703277,43.083612859297205
30748.0,18,10,2025,2020,6,29,2,0,3,17.3,73.7,9,17.335128,73.669496,3.5317594850323326
994.0,18,9,2025,2020,3,2,2,0,3,17.7,73.8,93,17.722427,73.788424,39.48369203197204
15.0,19,10,2025,2020,4,39,2,0,3,17.4,73.7,69,17.418832,73.742293,42.57616794108824
8.0,18,10,2025,2020,4,12,2,0,3,17.4,73.7,69,17.371715,73.697241,42.690651054359016
4.0,18,10,2025,2020,7,47,2,0,3,17.4,73.7,69,17.388227,73.736826,42.85973830400941
993.0,7,10,2024,2020,0,5,2,0,3,17.7,73.8,93,17.723366,73.820926,36.02373067810686
8.0,19,10,2025,2020,6,29,2,0,3,17.4,73.7,69,17.406388,73.742859,42.690651054359016
31.0,19,10,2025,2020,4,31,2,0,3,17.4,73.7,69,17.414579,73.739789,42.47742542152915
204.0,21,7,2025,2020,4,19,2,0,2,17.6,73.5,172,17.557575,73.503528,148.84751398983533
2.0,17,10,2025,2020,6,29,2,0,3,17.4,73.7,69,17.392753,73.740731,43.083612859297205
8.0,18,10,2025,2020,4,39,2,0,3,17.4,73.7,69,17.369697,73.695851,42.690651054359016
15.0,18,10,2025,2020,4,39,2,0,3,17.4,73.7,69,17.369585,73.695237,42.57616794108824
8.0,19,10,2025,2020,4,39,2,0,3,17.4,73.7,69,17.406902,73.742523,42.690651054359016
8.0,18,10,2025,2020,6,29,2,0,3,17.4,73.7,69,17.369155,73.694944,42.690651054359016
15.0,18,10,2025,2020,4,43,2,0,3,17.4,73.7,69,17.391532,73.745211,42.57616794108824
333.0,18,9,2025,2020,3,2,2,0,3,17.7,73.8,93,17.7205,73.829888,39.532363870087956
203.0,21,9,2025,2020,4,27,2,0,3,17.7,73.8,93,17.725194,73.822589,39.559859832092194
203.0,18,9,2025,2020,4,27,2,0,3,17.7,73.8,93,17.694025,73.838394,39.559859832092194
203.0,18,9,2025,2020,3,2,2,0,3,17.7,73.8,93,17.719311,73.822397,39.559859832092194
205.0,20,9,2025,2020,4,31,2,0,3,17.7,73.8,93,17.725689,73.818914,39.55927417287925
203.0,21,9,2025,2020,0,5,2,0,3,17.7,73.8,93,17.725583,73.820903,39.559859832092194
203.0,28,9,2025,2020,3,24,2,0,3,17.6,73.8,97,17.597106,73.8484,43.8598598320922
261.0,21,9,2025,2020,4,27,2,0,3,17.6,73.8,97,17.595726,73.846164,43.845388873653896
261.0,21,9,2025,2020,4,27,2,0,3,17.6,73.8,97,17.595726,73.846164,43.845388873653896
261.0,21,9,2025,2020,4,27,3,0,3,17.6,73.8,97,17.595726,73.846164,43.845388873653896
261.0,21,9,2025,2020,4,27,3,0,3,17.6,73.8,97,17.595726,73.846164,43.845388873653896
204.0,12,11,2023,2020,4,26,2,0,3,17.6,73.5,172,17.557575,73.503528,90.27956606235296
203.0,30,7,2022,2020,4,36,2,0,2,17.6,73.5,172,17.558697,73.504485,436.84464301194333
203.0,24,7,2022,2020,4,36,2,0,2,17.6,73.5,172,17.558697,73.504485,436.84464301194333
5321.0,19,8,2025,2020,3,2,2,0,2,17.5,73.5,183,17.531904,73.515134,59.46139613667751
204.0,12,11,2023,2020,4,26,2,0,3,17.6,73.5,172,17.557575,73.503528,90.27956606235296
203.0,22,7,2022,2020,4,36,2,0,2,17.6,73.5,172,17.558697,73.504485,436.84464301194333
206.0,24,3,2025,2020,4,31,3,0,1,17.4,73.7,69,17.405379,73.745792,22.71898414225377
203.0,22,7,2022,2020,4,26,2,0,2,17.6,73.5,172,17.558697,73.504485,436.84464301194333
204.0,13,11,2023,2020,4,26,2,0,3,17.6,73.5,172,17.557575,73.503528,90.27956606235296
203.0,23,7,2022,2020,4,36,2,0,2,17.6,73.5,172,17.558697,73.504485,436.84464301194333
203.0,25,7,2022,2020,4,36,2,0,2,17.6,73.5,172,17.558697,73.504485,436.84464301194333
207.0,23,3,2025,2020,4,31,3,0,1,17.4,73.8,41,17.3558,73.763762,13.458695949407709
993.0,28,9,2019,2010,6,29,2,0,3,17.7,73.8,93,17.720831,73.823716,38.06373067810686
204.0,21,7,2025,2020,4,19,2,0,2,17.6,73.5,172,17.557575,73.503528,148.84751398983533
203.0,28,7,2022,2020,4,19,2,0,2,17.6,73.5,172,17.558697,73.504485,436.84464301194333
203.0,27,7,2022,2020,4,19,2,0,2,17.6,73.5,172,17.558697,73.504485,436.84464301194333
204.0,7,11,2023,2020,4,19,2,0,3,17.6,73.5,172,17.557575,73.503528,90.27956606235296
203.0,20,7,2020,2020,4,19,2,0,2,17.6,73.5,172,17.558697,73.504485,306.8798430119433
204.0,7,11,2023,2020,4,19,2,0,3,17.6,73.5,172,17.557575,73.503528,90.27956606235296
203.0,30,7,2022,2020,4,19,2,0,2,17.6,73.5,172,17.558697,73.504485,436.84464301194333
203.0,31,7,2022,2020,4,36,2,0,2,17.6,73.5,172,17.558697,73.504485,436.84464301194333
204.0,13,11,2023,2020,4,12,2,0,3,17.6,73.5,172,17.557575,73.503528,90.27956606235296
204.0,13,11,2023,2020,4,12,2,0,3,17.6,73.5,172,17.557575,73.503528,90.27956606235296
203.0,31,7,2022,2020,4,12,2,0,2,17.6,73.5,172,17.558697,73.504485,436.84464301194333
203.0,18,7,2021,2020,4,12,2,0,2,17.6,73.5,172,17.558739,73.504469,195.17104301194328
203.0,28,7,2022,2020,4,12,2,0,2,17.6,73.5,172,17.558697,73.504485,436.84464301194333
204.0,13,11,2023,2020,4,12,2,0,3,17.6,73.5,172,17.557575,73.503528,90.27956606235296
204.0,13,11,2023,2020,4,12,2,0,3,17.6,73.5,172,17.557575,73.503528,90.27956606235296
204.0,13,11,2023,2020,4,12,2,0,3,17.6,73.5,172,17.557575,73.503528,90.27956606235296
204.0,7,11,2023,2020,4,12,2,0,3,17.6,73.5,172,17.557575,73.503528,90.27956606235296
204.0,13,11,2023,2020,4,12,2,0,3,17.6,73.5,172,17.557575,73.503528,90.27956606235296
204.0,13,11,2023,2020,4,12,2,0,3,17.6,73.5,172,17.557575,73.503528,90.27956606235296
204.0,13,11,2023,2020,4,12,2,0,3,17.6,73.5,172,17.557575,73.503528,90.27956606235296
204.0,19,7,2025,2020,4,19,2,0,2,17.6,73.5,172,17.557575,73.503528,148.84751398983533
204.0,19,7,2025,2020,4,26,2,0,2,17.6,73.5,172,17.557575,73.503528,148.84751398983533
204.0,21,7,2025,2020,4,12,2,0,2,17.6,73.5,172,17.557575,73.503528,148.84751398983533
204.0,21,7,2025,2020,4,19,1,0,2,17.6,73.5,172,17.557575,73.503528,148.84751398983533
204.0,19,7,2025,2020,4,12,2,0,2,17.6,73.5,172,17.557575,73.503528,148.84751398983533
204.0,20,7,2025,2020,4,19,2,0,2,17.6,73.5,172,17.557575,73.503528,148.84751398983533
204.0,20,7,2025,2020,4,36,2,0,2,17.6,73.5,172,17.557575,73.503528,148.84751398983533
204.0,19,7,2025,2020,4,36,2,0,2,17.6,73.5,172,17.557575,73.503528,148.84751398983533
204.0,20,7,2025,2020,4,26,2,0,2,17.6,73.5,172,17.557575,73.503528,148.84751398983533
204.0,21,7,2025,2020,4,59,2,0,2,17.6,73.5,172,17.557575,73.503528,148.84751398983533
204.0,19,7,2025,2020,4,26,2,0,2,17.6,73.5,172,17.557575,73.503528,148.84751398983533
204.0,21,7,2025,2020,4,52,2,0,2,17.6,73.5,172,17.557575,73.503528,148.84751398983533
204.0,21,7,2025,2020,4,19,2,0,2,17.6,73.5,172,17.557575,73.503528,148.84751398983533
204.0,21,7,2025,2020,4,19,2,0,2,17.6,73.5,172,17.557575,73.503528,148.84751398983533
204.0,21,7,2025,2020,4,26,2,0,2,17.6,73.5,172,17.557575,73.503528,148.84751398983533
204.0,19,7,2025,2020,4,12,2,0,2,17.6,73.5,172,17.557575,73.503528,148.84751398983533
204.0,21,7,2025,2020,4,19,2,0,2,17.6,73.5,172,17.557575,73.503528,148.84751398983533
204.0,20,7,2025,2020,4,19,2,0,2,17.6,73.5,172,17.557575,73.503528,148.84751398983533
204.0,20,7,2025,2020,4,19,2,0,2,17.6,73.5,172,17.557575,73.503528,148.84751398983533
204.0,19,7,2025,2020,4,19,2,0,2,17.6,73.5,172,17.557575,73.503528,148.84751398983533
204.0,20,7,2025,2020,4,36,2,0,2,17.6,73.5,172,17.557575,73.503528,148.84751398983533
204.0,19,7,2025,2020,4,36,2,0,2,17.6,73.5,172,17.557575,73.503528,148.84751398983533
204.0,21,7,2025,2020,4,46,2,0,2,17.6,73.5,172,17.557575,73.503528,148.84751398983533
204.0,19,7,2025,2020,4,52,2,0,2,17.6,73.5,172,17.557575,73.503528,148.84751398983533
204.0,20,7,2025,2020,4,56,2,0,2,17.6,73.5,172,17.557575,73.503528,148.84751398983533
204.0,21,7,2025,2020,4,12,2,0,2,17.6,73.5,172,17.557575,73.503528,148.84751398983533
204.0,21,7,2025,2020,4,19,2,0,2,17.6,73.5,172,17.557575,73.503528,148.84751398983533
204.0,21,7,2025,2020,4,19,2,0,2,17.6,73.5,172,17.557575,73.503528,148.84751398983533
204.0,19,7,2025,2020,4,19,2,0,2,17.6,73.5,172,17.557575,73.503528,148.84751398983533
204.0,21,7,2025,2020,4,12,2,0,2,17.6,73.5,172,17.557575,73.503528,148.84751398983533
203.0,24,7,2020,2020,4,37,2,0,2,17.6,73.5,172,17.558697,73.504485,306.8798430119433
203.0,21,7,2020,2020,4,19,2,0,2,17.6,73.5,172,17.558697,73.504485,306.8798430119433
3152.0,15,9,2012,2010,6,32,2,0,3,17.7,73.8,93,17.714987,73.812498,30.925014458771535
204.0,29,5,2025,2020,0,16,2,0,1,17.6,73.5,172,17.557575,73.503528,52.97956606235296
205.0,25,11,2014,2010,4,43,2,0,3,17.7,73.8,93,17.725689,73.818914,31.839274172879254
1069.0,14,6,2025,2020,4,31,2,0,2,17.4,73.7,69,17.39189,73.740431,25.357835798323443
1069.0,14,6,2025,2020,4,39,2,0,2,17.4,73.7,69,17.39189,73.740431,25.357835798323443
1069.0,14,6,2025,2020,6,29,2,0,2,17.4,73.7,69,17.39189,73.740431,25.357835798323443
1069.0,14,6,2025,2020,6,29,2,0,2,17.4,73.7,69,17.39189,73.740431,25.357835798323443
203.0,22,7,2022,2020,4,12,2,0,2,17.6,73.5,172,17.558697,73.504485,436.84464301194333
203.0,20,7,2021,2020,4,21,2,0,2,17.6,73.5,172,17.558739,73.504469,195.17104301194328
203.0,28,7,2022,2020,4,19,2,0,2,17.6,73.5,172,17.558697,73.504485,436.84464301194333
753.0,11,6,2025,2020,4,39,2,0,2,17.6,73.6,2,17.641939,73.61225,1.875706450851946
203.0,13,5,2025,2020,2,8,2,0,1,17.7,73.7,21,17.713464,73.686886,7.059859832092195
205.0,25,11,2014,2010,2,58,1,0,3,17.7,73.8,93,17.725689,73.818914,31.839274172879254
203.0,17,5,2025,2020,3,24,2,0,1,17.7,73.8,93,17.710026,73.75531,28.819859832092195
207.0,25,5,2024,2020,7,0,2,0,1,17.6,73.8,97,17.557274,73.832161,31.178695949407714
204.0,28,7,2024,2020,4,12,2,0,2,17.6,73.5,172,17.557575,73.503528,103.39791398983532
204.0,22,7,2023,2020,4,12,2,0,2,17.6,73.5,172,17.557575,73.503528,117.1963139898353
203.0,25,7,2022,2020,4,12,2,0,2,17.6,73.5,172,17.558697,73.504485,436.84464301194333
203.0,25,7,2022,2020,4,12,2,0,2,17.6,73.5,172,17.558697,73.504485,436.84464301194333
203.0,31,7,2022,2020,4,12,2,0,2,17.6,73.5,172,17.558697,73.504485,436.84464301194333
203.0,22,7,2022,2020,4,12,2,0,2,17.6,73.5,172,17.558697,73.504485,436.84464301194333
203.0,27,7,2022,2020,4,12,2,0,2,17.6,73.5,172,17.558697,73.504485,436.84464301194333
244.0,15,9,2012,2010,4,48,2,0,3,17.7,73.8,93,17.716662,73.812943,31.02915931074808
203.0,30,9,2015,2010,0,49,2,0,3,17.7,73.8,93,17.720741,73.825018,35.299859832092196
203.0,4,11,2023,2020,4,31,2,0,3,17.6,73.7,4,17.629879,73.74702,2.2998598320921944
4.0,8,9,2024,2020,4,43,2,0,3,17.6,73.8,97,17.649278,73.843063,38.199738304009415
5091.0,20,11,2009,2000,4,31,2,0,3,17.6,73.8,97,17.603097,73.847787,28.83169300355841
203.0,12,12,2022,2020,3,24,2,0,0,17.4,73.8,41,17.437618,73.827105,15.059859832092195
203.0,27,7,2022,2020,4,12,2,0,2,17.6,73.5,172,17.558697,73.504485,436.84464301194333
204.0,28,7,2024,2020,4,19,2,0,2,17.6,73.5,172,17.557575,73.503528,103.39791398983532
204.0,28,7,2024,2020,4,19,2,0,2,17.6,73.5,172,17.557575,73.503528,103.39791398983532
204.0,28,7,2024,2020,4,19,2,0,2,17.6,73.5,172,17.557575,73.503528,103.39791398983532
204.0,28,7,2024,2020,4,59,2,0,2,17.6,73.5,172,17.557575,73.503528,103.39791398983532
204.0,28,7,2024,2020,4,36,2,0,2,17.6,73.5,172,17.557575,73.503528,103.39791398983532
4157.0,8,7,2024,2020,4,31,2,0,2,17.6,73.8,97,17.592764,73.827203,71.20641678309536
204.0,28,7,2024,2020,4,19,2,0,2,17.6,73.5,172,17.557575,73.503528,103.39791398983532
204.0,28,7,2024,2020,4,19,2,0,2,17.6,73.5,172,17.557575,73.503528,103.39791398983532
4157.0,14,7,2024,2020,4,39,2,0,2,17.6,73.8,97,17.592764,73.827203,71.20641678309536
203.0,17,5,2022,2020,0,17,2,0,1,17.4,73.7,69,17.370733,73.676756,28.03985983209219
204.0,13,11,2023,2020,4,19,2,0,3,17.6,73.5,172,17.557575,73.503528,90.27956606235296
5321.0,26,6,2011,2010,6,29,2,0,2,17.5,73.5,183,17.531904,73.515134,58.5653961366775
204.0,28,7,2024,2020,4,19,1,0,2,17.6,73.5,172,17.557575,73.503528,103.39791398983532
206.0,4,12,2024,2020,4,31,2,0,0,17.7,73.8,93,17.725689,73.818914,41.678984142253775
206.0,4,12,2024,2020,4,31,2,0,0,17.7,73.8,93,17.725689,73.818914,41.678984142253775
209.0,31,10,2024,2020,4,39,2,0,3,17.8,73.7,31,17.769133,73.742102,13.138124994477401
206.0,4,12,2024,2020,3,2,2,0,0,17.7,73.8,93,17.725689,73.818914,41.678984142253775
203.0,18,5,2022,2020,4,39,2,0,1,17.4,73.7,69,17.379939,73.702364,28.03985983209219
206.0,4,12,2024,2020,4,39,2,0,0,17.7,73.8,93,17.725689,73.818914,41.678984142253775
206.0,4,12,2024,2020,4,39,2,0,0,17.7,73.8,93,17.725689,73.818914,41.678984142253775
206.0,4,12,2024,2020,4,40,2,0,0,17.7,73.8,93,17.725689,73.818914,41.678984142253775
206.0,4,12,2024,2020,4,31,2,0,0,17.7,73.8,93,17.725689,73.818914,41.678984142253775
209.0,31,10,2024,2020,4,31,2,0,3,17.8,73.7,31,17.769133,73.742102,13.138124994477401
206.0,4,12,2024,2020,4,43,2,0,0,17.7,73.8,93,17.725689,73.818914,41.678984142253775
206.0,4,12,2024,2020,4,39,2,0,0,17.7,73.8,93,17.725689,73.818914,41.678984142253775
206.0,4,12,2024,2020,4,31,2,0,0,17.7,73.8,93,17.725689,73.818914,41.678984142253775
206.0,4,12,2024,2020,4,12,2,0,0,17.7,73.8,93,17.725689,73.818914,41.678984142253775
206.0,4,12,2024,2020,4,39,2,0,0,17.7,73.8,93,17.725689,73.818914,41.678984142253775
206.0,4,12,2024,2020,4,31,2,0,0,17.7,73.8,93,17.725689,73.818914,41.678984142253775
206.0,4,12,2024,2020,4,31,2,0,0,17.7,73.8,93,17.725689,73.818914,41.678984142253775
902.0,15,11,2024,2020,4,40,2,0,3,17.6,73.8,97,17.597213,73.820524,38.90746673143659
206.0,4,12,2024,2020,4,43,2,0,0,17.7,73.8,93,17.725689,73.818914,41.678984142253775
203.0,22,7,2022,2020,4,19,2,0,2,17.6,73.5,172,17.558697,73.504485,436.84464301194333
5091.0,2,10,2024,2020,6,29,2,0,3,17.6,73.8,97,17.603097,73.847787,36.55169300355841
5091.0,2,10,2024,2020,4,12,2,0,3,17.6,73.8,97,17.603097,73.847787,36.55169300355841
61.0,11,12,2009,2000,4,43,2,0,0,17.7,73.8,93,17.715681,73.80656,27.30809773642766
209.0,31,10,2024,2020,4,31,2,0,3,17.8,73.7,31,17.769133,73.742102,13.138124994477401
5321.0,20,11,2010,2010,4,31,2,0,3,17.5,73.5,183,17.531904,73.515134,53.090532264890626
902.0,15,11,2024,2020,4,40,2,0,3,17.6,73.8,97,17.597213,73.820524,38.90746673143659
4157.0,9,6,2024,2020,0,5,2,0,2,17.6,73.8,97,17.560334,73.841027,32.49921678309537
209.0,12,11,2023,2020,4,39,2,0,3,17.8,73.7,31,17.769133,73.742102,12.6981249944774
993.0,26,9,2015,2010,4,39,2,0,3,17.7,73.8,93,17.722753,73.829467,35.22373067810686
994.0,13,10,2024,2020,4,52,2,0,3,17.7,73.8,93,17.728027,73.809835,36.02369203197204
994.0,12,10,2024,2020,6,29,2,0,3,17.7,73.8,93,17.728579,73.814937,36.02369203197204
994.0,12,10,2024,2020,0,5,2,0,3,17.7,73.8,93,17.727334,73.815887,36.02369203197204
204.0,7,11,2023,2020,4,19,2,0,3,17.6,73.5,172,17.557575,73.503528,90.27956606235296
204.0,8,8,2024,2020,0,18,1,0,2,17.6,73.5,172,17.557575,73.503528,57.05231398983532
204.0,7,11,2023,2020,4,36,2,0,3,17.6,73.5,172,17.557575,73.503528,90.27956606235296
204.0,7,11,2023,2020,4,19,1,0,3,17.6,73.5,172,17.557575,73.503528,90.27956606235296
204.0,7,11,2023,2020,4,19,2,0,3,17.6,73.5,172,17.557575,73.503528,90.27956606235296
204.0,7,11,2023,2020,4,12,1,0,3,17.6,73.5,172,17.557575,73.503528,90.27956606235296
204.0,7,11,2023,2020,4,37,2,0,3,17.6,73.5,172,17.557575,73.503528,90.27956606235296
204.0,5,10,2024,2020,7,0,2,0,3,17.6,73.8,97,17.598096,73.848153,36.67956606235296
204.0,7,11,2023,2020,4,19,2,0,3,17.6,73.5,172,17.557575,73.503528,90.27956606235296
203.0,5,10,2024,2020,4,40,2,0,3,17.7,73.6,2,17.723053,73.643391,1.7398598320921943
30716.0,19,9,2024,2020,0,5,2,0,3,17.6,73.8,97,17.6052,73.801658,37.49177894129698
205.0,6,10,2024,2020,3,2,2,0,3,17.7,73.8,93,17.725689,73.818914,36.09927417287925
205.0,11,1,2015,2010,3,24,2,0,0,17.7,73.8,93,17.725689,73.818914,30.859274172879253
993.0,16,9,2024,2020,4,31,2,0,3,17.7,73.8,93,17.720831,73.823716,39.56373067810686
993.0,16,9,2024,2020,4,43,2,0,3,17.7,73.8,93,17.720831,73.823716,39.56373067810686
993.0,16,9,2024,2020,4,39,1,0,3,17.7,73.8,93,17.720831,73.823716,39.56373067810686
993.0,16,9,2024,2020,3,2,2,0,3,17.7,73.8,93,17.720831,73.823716,39.56373067810686
993.0,16,9,2024,2020,4,40,2,0,3,17.7,73.8,93,17.720831,73.823716,39.56373067810686
993.0,16,9,2024,2020,4,39,2,0,3,17.7,73.8,93,17.720831,73.823716,39.56373067810686
993.0,16,9,2024,2020,4,27,2,0,3,17.7,73.8,93,17.720831,73.823716,39.56373067810686
993.0,16,9,2024,2020,4,27,2,0,3,17.7,73.8,93,17.720831,73.823716,39.56373067810686
889.0,3,9,2024,2020,4,19,2,0,3,17.5,73.8,9,17.45499,73.836287,3.6280389912521156
203.0,15,9,2018,2010,0,14,2,0,3,17.7,73.8,93,17.723599,73.826587,29.619859832092196
15.0,31,10,2016,2010,4,39,2,0,3,17.6,73.8,97,17.598593,73.848185,28.596167941088247
993.0,16,9,2024,2020,4,40,2,0,3,17.7,73.8,93,17.720831,73.823716,39.56373067810686
993.0,16,9,2024,2020,4,39,2,0,3,17.7,73.8,93,17.720831,73.823716,39.56373067810686
993.0,16,9,2024,2020,4,27,2,0,3,17.7,73.8,93,17.720831,73.823716,39.56373067810686
993.0,16,9,2024,2020,4,43,2,0,3,17.7,73.8,93,17.720831,73.823716,39.56373067810686
203.0,12,12,2022,2020,6,1,2,0,0,17.4,73.8,41,17.43764,73.827188,15.059859832092195
204.0,28,7,2024,2020,4,12,2,0,2,17.6,73.5,172,17.557575,73.503528,103.39791398983532
207.0,1,6,2008,2000,3,24,2,0,2,17.4,73.6,6,17.43,73.65,3.2017394633366347
204.0,28,7,2024,2020,4,19,1,0,2,17.6,73.5,172,17.557575,73.503528,103.39791398983532
204.0,28,7,2024,2020,4,19,1,0,2,17.6,73.5,172,17.557575,73.503528,103.39791398983532
204.0,28,7,2024,2020,4,19,2,0,2,17.6,73.5,172,17.557575,73.503528,103.39791398983532
207.0,31,5,2008,2000,3,24,2,0,1,17.4,73.6,6,17.43,73.65,3.6586959494077087
207.0,31,5,2008,2000,4,39,2,0,1,17.4,73.6,6,17.43,73.65,3.6586959494077087
203.0,13,7,2024,2020,3,24,2,0,2,17.4,73.7,69,17.413778,73.741586,32.90544301194326
191.0,18,5,2021,2020,6,29,2,0,1,17.4,73.8,41,17.402477,73.75136,16.123540035958868
205.0,10,11,2014,2010,4,19,2,0,3,17.7,73.8,93,17.725689,73.818914,31.839274172879254
203.0,2,11,2010,2010,4,31,2,0,3,17.7,73.8,93,17.725689,73.818914,28.819859832092195
203.0,20,11,2009,2000,4,31,2,0,3,17.6,73.8,97,17.603097,73.847787,28.959859832092196
203.0,8,11,2015,2010,4,31,2,0,3,17.6,73.8,97,17.603097,73.847787,32.4198598320922
203.0,22,11,2015,2010,4,31,2,0,3,17.6,73.8,97,17.603097,73.847787,32.4198598320922
203.0,4,12,2010,2010,4,31,2,0,0,17.5,73.5,183,17.531904,73.515134,54.63985983209219
203.0,20,6,2020,2020,4,31,2,0,2,17.6,73.8,97,17.627706,73.833084,51.407843011943264
203.0,21,11,2014,2010,4,31,2,0,3,17.6,73.8,97,17.603097,73.847787,29.759859832092197
203.0,4,11,2022,2020,6,10,2,0,3,17.7,73.8,93,17.736151,73.813098,55.339859832092195
203.0,7,9,2022,2020,6,29,2,0,3,17.5,73.5,183,17.531904,73.515134,76.7998598320922
1069.0,21,7,2022,2020,4,12,2,0,2,17.4,73.7,69,17.39189,73.740431,71.23303579832346
1055.0,18,1,2021,2020,4,39,2,0,0,17.4,73.7,69,17.420257,73.681399,21.841422584070806
8.0,20,1,2013,2010,4,27,2,0,0,17.7,73.7,21,17.671533,73.714343,7.430651054359019
